date,open,high,low,close,Volume USD
1647997200,2974.29,2974.29,2965,2966.84,56423.9236450812
1647993600,2970.37,2979.91,2962.1,2974.99,239794.087061496
1647990000,2999.81,3001.42,2959.78,2971.39,734904.938427612
1647986400,3017.33,3017.33,2994.41,2999.69,4222020.31781071
1647982800,3004.31,3017.8,3002.69,3017.8,6096129.20823043
1647979200,2988.14,3010.11,2988.14,3003.59,701098.347481857
1647975600,3003.44,3015.31,2982.84,2987.33,1603010.15281971
1647972000,3006.06,3011.14,2992.15,3003.21,1054629.73449091
1647968400,2998.94,3013.42,2998.61,3008.96,982183.097127926
1647964800,3003.23,3014.36,2997.04,3001.32,677472.245236962
1647961200,3011.05,3021.13,3003.22,3003.22,1303410.91712705
1647957600,2997.65,3031.96,2997.65,3011.05,4042819.25491269
1647954000,3011.55,3016.16,2990.66,2995.84,1095772.74686138
1647950400,3022.68,3028.42,2999.22,3010.47,997627.894163342
1647946800,3021.04,3027.42,3011.31,3023.23,1343612.38961933
1647943200,3008.07,3023.52,3002.82,3020.27,2701245.05438897
1647939600,3017.23,3017.7,2998.05,3007.81,1178304.22352397
1647936000,2999.4,3026.33,2988.28,3015.79,1597772.62964934
1647932400,2986.87,2997.81,2984.28,2995.72,576201.309685274
1647928800,3012.72,3013.82,2968.28,2986.26,1711304.1508938
1647925200,3031.73,3033.15,3013,3013.61,800001.456474694
1647921600,3009.17,3052.78,3008.71,3029.49,3868035.79190642
1647918000,2965.91,3031,2965.91,3008.18,3017615.09502264
1647914400,2897,2978.92,2897,2967.34,2567577.33035038
1647910800,2906.98,2912.89,2890.21,2897.99,184790.889720417
1647907200,2889.28,2907.11,2887.67,2906.43,348433.209266967
1647903600,2909.12,2913.71,2884,2895.38,272148.395870169
1647900000,2923.35,2925,2909.15,2910.54,844862.452764644
1647896400,2911.75,2923.14,2901.11,2923.14,795837.392291858
1647892800,2919.15,2925.92,2910.74,2912.56,392196.759421326
1647889200,2908.65,2921.43,2896.42,2920.46,750994.933293263
1647885600,2922.5,2925.41,2905.78,2905.78,430732.499641663
1647882000,2907.17,2931.3,2898.32,2922.77,2723695.96892059
1647878400,2958.2,2962.79,2907.52,2907.72,1442964.23456302
1647874800,2927.31,2959.06,2918.73,2958.16,7519497.57648926
1647871200,2916.79,2927.81,2893.98,2926.05,3080860.26580409
1647867600,2916.08,2947.28,2916.08,2916.38,12623564.6004464
1647864000,2908.62,2916.65,2888.46,2915.39,694909.396527064
1647860400,2913.71,2925,2906.91,2907.54,343207.529944526
1647856800,2916.43,2921.23,2903.82,2912.17,332377.842093663
1647853200,2882.61,2916.96,2875.58,2915,846182.6961016
1647849600,2892.27,2903.57,2882.33,2882.61,1129330.62191301
1647846000,2862.95,2897.88,2857.87,2891.27,632561.246457711
1647842400,2872.96,2877.77,2860,2862.65,711105.037476267
1647838800,2847.53,2874.22,2844.02,2872.63,422156.8495095
1647835200,2844.89,2850.22,2837.46,2847.65,224926.650901374
1647831600,2844.36,2854.2,2833.91,2846.42,245136.128871086
1647828000,2867.87,2873.32,2833.3,2843.16,964372.850294613
1647824400,2872.86,2876.97,2861.97,2864.09,274351.862094679
1647820800,2858.66,2873.39,2847.53,2873.39,509032.542634075
1647817200,2878.75,2878.76,2853.14,2859.93,652887.646759699
1647813600,2882.06,2882.3,2856.66,2877.82,842920.932388368
1647810000,2873.11,2887.97,2863.08,2879.69,498114.077167958
1647806400,2878.48,2912.64,2873.83,2874.98,804269.625419445
1647802800,2844.4,2879.24,2840.74,2877.95,560263.498140138
1647799200,2825.8,2844.6,2819,2844.6,441903.26314761
1647795600,2849.63,2854.11,2817.65,2827.33,1650086.54387897
1647792000,2853.28,2879.58,2842.17,2850.95,2064808.11985811
1647788400,2863,2870.49,2848.73,2856,1477296.85542432
1647784800,2875.65,2886.86,2858.61,2862.57,1054754.30587416
1647781200,2894.71,2896.29,2873.75,2873.88,278994.431576621
1647777600,2888.51,2900.28,2871.47,2893.01,748218.309872435
1647774000,2916.72,2922.84,2880.97,2888.38,1447093.39229728
1647770400,2922.29,2924.07,2910.49,2917.85,266078.030653383
1647766800,2927.99,2929.19,2898.38,2921.39,543537.761042716
1647763200,2924.18,2932.76,2924.18,2927.68,99958.9456370848
1647759600,2924.56,2929.65,2916.86,2927.46,141961.852158548
1647756000,2930.73,2936.88,2925.41,2925.47,39803.8373967416
1647752400,2921.4,2933.61,2918,2932.6,97098.35036891
1647748800,2937.84,2937.84,2919.17,2920.55,114000.030887221
1647745200,2921.13,2938.59,2921.13,2934.56,246034.715095571
1647741600,2930.89,2935.08,2915.86,2921.13,304976.299684326
1647738000,2941.2,2944.2,2909.8,2930.66,565024.993180282
1647734400,2953.58,2964.99,2934.71,2941.83,161456.4105564
1647730800,2935.96,2957.68,2932.7,2949.68,423850.852637477
1647727200,2949.62,2949.62,2888.88,2937.32,1305369.40103269
1647723600,2955.29,2964.99,2950.51,2950.51,244626.265901929
1647720000,2953.2,2966.79,2942.71,2956.74,545473.899576772
1647716400,2959.72,2959.77,2948.59,2952.11,306295.670217104
1647712800,2957.93,2960.11,2948.36,2958.85,1039368.66318109
1647709200,2977.04,2979.03,2953.45,2959.54,491900.086078857
1647705600,2970.2,2986.98,2959.67,2976.25,3983183.70178317
1647702000,2967.36,2980.31,2957.72,2973.12,369244.729805616
1647698400,2952.94,2966.33,2947.01,2965.94,806571.897204413
1647694800,2972.42,2979.18,2949.82,2951.92,455263.776747746
1647691200,2947.37,2975.2,2944.4,2975.2,853069.577353384
1647687600,2942.55,2952.83,2939.82,2948.06,206337.463247884
1647684000,2947.31,2955.5,2940.58,2941.97,169545.71050621
1647680400,2936.55,2955.63,2935.7,2944.18,619183.283795556
1647676800,2924.86,2937.57,2923.48,2936.89,193389.763660915
1647673200,2938.52,2938.52,2922.66,2926.66,459679.997167626
1647669600,2935.67,2944.97,2931.08,2939.17,269524.187754249
1647666000,2947.09,2948.43,2933.76,2934.86,213215.503613751
1647662400,2950.93,2955.79,2942.31,2948.43,174310.712947051
1647658800,2954.54,2958.62,2931.69,2950.05,337439.874069464
1647655200,2960,2960.75,2949.19,2953.8,4869995.88770743
1647651600,2968.89,2970.26,2960,2960,5720912.3023328
1647648000,2941.39,2983.28,2939.15,2969.09,9217191.75737469
1647644400,2932.86,2951.39,2931.9,2940.06,348868.699504879
1647640800,2953.16,2961.62,2932.27,2932.27,548941.124879112
1647637200,2949.5,2957.27,2942.19,2953.74,443630.934382478
1647633600,2966.78,2987.47,2948.6,2950.01,2108058.05542329
1647630000,2935.56,2971.02,2934.16,2968.92,5791777.41566472
1647626400,2939.32,2944.82,2925.54,2935.55,9339016.70485035
1647622800,2924.49,2948.52,2918.45,2939.3,11195485.0450182
1647619200,2900.08,2929,2886.32,2925.85,10505743.4033516
1647615600,2847.12,2903.54,2845.18,2900.08,3847497.01667588
1647612000,2815.51,2859.86,2811.55,2846.21,1581705.0545614
1647608400,2806.84,2814.62,2791.41,2813.17,748923.843898693
1647604800,2797.81,2823.15,2794.03,2806.84,1528272.42390397
1647601200,2795.84,2800.71,2782.41,2798,431372.18372246
1647597600,2797.93,2814.74,2795.23,2797.4,402868.589687902
1647594000,2803.05,2808.31,2794.35,2797.75,248822.938215162
1647590400,2796.75,2816.24,2786,2801.53,1472698.03523134
1647586800,2800.64,2805.78,2792,2796,989835.39755388
1647583200,2806.09,2811.51,2796.61,2801.28,499455.091907501
1647579600,2782.82,2809.41,2782.82,2804.47,765014.269782163
1647576000,2776.6,2784.4,2774.18,2783.1,186076.695935532
1647572400,2784.98,2788.94,2774.55,2780.15,409015.056172389
1647568800,2789.06,2790.61,2779.46,2784.07,178921.269883634
1647565200,2775.34,2789.27,2770.49,2789.06,654640.470777286
1647561600,2813.64,2815.06,2766.45,2776.92,753758.101321889
1647558000,2822.5,2823.71,2811.97,2815.51,673137.819960282
1647554400,2822.95,2823.67,2811.53,2821.7,713260.223111149
1647550800,2807.59,2822.95,2803.91,2821.36,404005.128442541
1647547200,2828.39,2828.39,2801.2,2808.86,533751.328178164
1647543600,2814.95,2836.64,2809.91,2830.72,6342493.18004564
1647540000,2810.66,2817.99,2806.93,2814.59,2159350.62547286
1647536400,2798.08,2815.03,2776.69,2809.21,4541181.29409159
1647532800,2803.15,2815.87,2788.87,2796.37,2820646.30959582
1647529200,2800.27,2820.12,2795.97,2801.19,1901006.56166127
1647525600,2822.06,2840.49,2796.47,2802.29,2512764.53578157
1647522000,2808.52,2826.47,2801.77,2821.94,2259256.14699048
1647518400,2778.67,2819.47,2773.54,2809.36,2560256.28715758
1647514800,2773.88,2781.4,2766.67,2778.05,717771.329308583
1647511200,2768.82,2777.66,2752.94,2775.05,544517.40604991
1647507600,2772.16,2774.07,2762.39,2769.89,859717.398467785
1647504000,2757.61,2775.98,2750.34,2772.14,1704973.87714398
1647500400,2753,2765.15,2750.5,2757.32,772989.337284167
1647496800,2760.82,2767.87,2744.06,2753.9,1294220.64804014
1647493200,2774.07,2775.15,2759.32,2761.56,188745.054410023
1647489600,2767.97,2775.46,2757.74,2775.29,257338.031296807
1647486000,2776.1,2779.28,2766.48,2767.72,367030.213319688
1647482400,2774.77,2781.62,2764.74,2777.77,373228.339346613
1647478800,2769.85,2789.28,2754.9,2775.7,2902056.08567604
1647475200,2775.55,2783.4,2754.7,2768.78,1328277.92988202
1647471600,2747.47,2777,2744.69,2775.55,975456.352362163
1647468000,2766.9,2771.66,2745.29,2746.99,369209.440706331
1647464400,2774.58,2788.19,2757.23,2767.08,704469.823683643
1647460800,2755.62,2791,2742.78,2772.95,3673481.45723979
1647457200,2674.08,2756.87,2671,2754.11,6243063.42857059
1647453600,2705.17,2713.42,2574.89,2678.59,5844305.27813744
1647450000,2691.64,2712.87,2675.35,2703.67,1189802.22127029
1647446400,2706.8,2750,2683.17,2693.4,4210395.58232672
1647442800,2711.8,2725.18,2699.75,2706.12,1178724.98181037
1647439200,2685.97,2718.37,2674.19,2711.96,1682255.27530653
1647435600,2672,2690.79,2662.39,2684.37,1614736.41711447
1647432000,2690.51,2698.42,2667.08,2672.99,632891.480956983
1647428400,2675.84,2705.52,2671.64,2689.07,1889367.0612454
1647424800,2686.27,2696.4,2673.57,2677.37,1707371.59587825
1647421200,2679.09,2693.62,2672.34,2685.68,2144760.12922649
1647417600,2648.03,2686.82,2647.98,2677.44,19725436.6635207
1647414000,2648.6,2651.85,2637.02,2647.64,668363.965157569
1647410400,2629.63,2650,2628.43,2648.6,713330.429273492
1647406800,2620.72,2632.57,2613.4,2629.71,226664.075398237
1647403200,2621.05,2629.06,2607.38,2620.91,912976.102533384
1647399600,2693.44,2694.38,2598.98,2621.85,1327031.9562244
1647396000,2644.3,2734.6,2644.01,2691.79,2846969.54270595
1647392400,2611.19,2651.18,2609.18,2645.23,1279835.74216833
