datetime,price,size,type
2018-06-01 18:00:00,565.99,1,BUY
2018-06-10 02:00:00,577.76,1,SELL
2018-06-19 06:00:00,515.28,1,BUY
2018-06-23 01:00:00,471.51,1,SELL
2018-07-01 17:00:00,449.5,1,BUY
2018-07-10 18:00:00,437.0,1,SELL
2018-07-16 18:00:00,473.72,1,BUY
2018-07-21 13:00:00,459.1,1,SELL
2018-07-25 22:00:00,474.68,1,BUY
2018-07-29 08:00:00,463.48,1,SELL
2018-07-29 15:00:00,466.89,1,BUY
2018-07-29 20:00:00,465.3,1,SELL
2018-08-18 23:00:00,293.83,1,BUY
2018-08-21 04:00:00,275.39,1,SELL
2018-08-28 13:00:00,290.53,1,BUY
2018-09-01 05:00:00,286.4,1,SELL
2018-09-01 10:00:00,287.83,1,BUY
2018-09-05 05:00:00,285.03,1,SELL
2018-09-14 20:00:00,218.8,1,BUY
2018-09-26 04:00:00,211.22,1,SELL
2018-09-30 14:00:00,236.18,1,BUY
2018-10-03 22:00:00,217.28,1,SELL
2018-10-09 00:00:00,228.2,1,BUY
2018-10-11 05:00:00,200.51,1,SELL
2018-10-17 18:00:00,204.0,1,BUY
2018-10-23 07:00:00,200.52,1,SELL
2018-10-28 21:00:00,201.51,1,BUY
2018-10-29 16:00:00,194.35,1,SELL
2018-11-03 11:00:00,198.77,1,BUY
2018-11-11 18:00:00,208.0,1,SELL
2018-11-30 00:00:00,115.27,1,BUY
2018-12-04 01:00:00,108.05,1,SELL
2018-12-18 03:00:00,94.98,1,BUY
2018-12-28 10:00:00,116.74,1,SELL
2018-12-29 15:00:00,137.31,1,BUY
2019-01-09 18:00:00,149.93,1,SELL
2019-02-04 10:00:00,105.77,1,BUY
2019-02-06 02:00:00,101.89,1,SELL
2019-02-08 21:00:00,117.54,1,BUY
2019-02-26 02:00:00,137.27,1,SELL
2019-03-07 00:00:00,137.83,1,BUY
2019-03-12 03:00:00,129.48,1,SELL
2019-03-16 06:00:00,141.66,1,BUY
2019-03-22 12:00:00,136.33,1,SELL
2019-03-28 08:00:00,137.21,1,BUY
2019-04-12 12:00:00,166.43,1,SELL
2019-04-18 11:00:00,170.78,1,BUY
2019-04-24 18:00:00,162.09,1,SELL
2019-05-02 02:00:00,157.9,1,BUY
2019-05-23 21:00:00,245.9,1,SELL
2019-05-25 09:00:00,257.83,1,BUY
2019-06-01 15:00:00,265.71,1,SELL
2019-06-02 07:00:00,272.0,1,BUY
2019-06-03 14:00:00,257.87,1,SELL
2019-06-12 08:00:00,248.19,1,BUY
2019-06-29 00:00:00,306.2,1,SELL
2019-07-08 02:00:00,304.94,1,BUY
2019-07-11 12:00:00,271.08,1,SELL
2019-07-21 21:00:00,225.24,1,BUY
2019-07-23 10:00:00,211.9,1,SELL
2019-08-01 12:00:00,214.18,1,BUY
2019-08-09 08:00:00,216.02,1,SELL
2019-08-20 05:00:00,199.3,1,BUY
2019-08-22 05:00:00,185.86,1,SELL
2019-08-23 23:00:00,194.51,1,BUY
2019-08-25 07:00:00,190.37,1,SELL
2019-09-03 20:00:00,181.22,1,BUY
2019-09-07 05:00:00,169.75,1,SELL
2019-09-07 22:00:00,178.68,1,BUY
2019-09-24 02:00:00,201.23,1,SELL
2019-10-01 19:00:00,176.29,1,BUY
2019-10-06 19:00:00,169.65,1,SELL
2019-10-08 11:00:00,180.71,1,BUY
2019-10-14 10:00:00,183.04,1,SELL
2019-10-15 02:00:00,186.67,1,BUY
2019-10-15 03:00:00,185.13,1,SELL
2019-10-26 11:00:00,182.11,1,BUY
2019-11-02 10:00:00,182.67,1,SELL
2019-11-05 13:00:00,186.17,1,BUY
2019-11-09 10:00:00,185.45,1,SELL
2019-11-11 01:00:00,189.63,1,BUY
2019-11-12 16:00:00,184.05,1,SELL
2019-11-29 07:00:00,152.82,1,BUY
2019-12-02 22:00:00,149.43,1,SELL
2019-12-08 17:00:00,151.05,1,BUY
2019-12-11 00:00:00,145.56,1,SELL
2019-12-23 19:00:00,129.2,1,BUY
2019-12-25 13:00:00,124.17,1,SELL
2019-12-29 16:00:00,132.67,1,BUY
2020-01-23 10:00:00,162.6,1,SELL
2020-01-27 17:00:00,169.31,1,BUY
2020-02-21 01:00:00,260.36,1,SELL
2020-02-23 20:00:00,270.78,1,BUY
2020-02-25 16:00:00,247.0,1,SELL
2020-03-05 14:00:00,229.58,1,BUY
2020-03-09 06:00:00,205.38,1,SELL
2020-03-20 09:00:00,150.13,1,BUY
2020-03-28 19:00:00,128.68,1,SELL
2020-04-02 07:00:00,137.75,1,BUY
2020-04-12 04:00:00,156.85,1,SELL
2020-04-16 21:00:00,172.57,1,BUY
2020-05-05 09:00:00,206.76,1,SELL
2020-05-08 21:00:00,214.82,1,BUY
2020-05-10 07:00:00,190.8,1,SELL
2020-05-15 09:00:00,199.4,1,BUY
2020-05-22 09:00:00,202.41,1,SELL
2020-05-24 10:00:00,209.63,1,BUY
2020-05-24 19:00:00,206.34,1,SELL
2020-05-28 17:00:00,215.02,1,BUY
2020-06-12 01:00:00,232.7,1,SELL
2020-06-22 16:00:00,244.16,1,BUY
2020-06-26 08:00:00,229.18,1,SELL
2020-07-02 19:00:00,225.6,1,BUY
2020-07-04 14:00:00,225.98,1,SELL
2020-07-04 18:00:00,228.88,1,BUY
2020-07-14 14:00:00,239.24,1,SELL
2020-07-14 16:00:00,240.09,1,BUY
2020-07-15 04:00:00,240.01,1,SELL
2020-07-21 08:00:00,241.74,1,BUY
2020-08-09 14:00:00,385.16,1,SELL
2020-08-10 01:00:00,395.54,1,BUY
2020-08-11 22:00:00,375.73,1,SELL
2020-08-14 03:00:00,421.7,1,BUY
2020-08-20 05:00:00,404.52,1,SELL
2020-08-29 16:00:00,402.35,1,BUY
2020-09-04 11:00:00,395.21,1,SELL
2020-09-11 12:00:00,365.25,1,BUY
2020-09-21 14:00:00,337.87,1,SELL
2020-09-27 14:00:00,351.63,1,BUY
2020-10-02 19:00:00,343.3,1,SELL
2020-10-09 19:00:00,363.7,1,BUY
2020-10-17 00:00:00,364.71,1,SELL
2020-10-20 02:00:00,378.83,1,BUY
2020-10-20 23:00:00,368.68,1,SELL
2020-10-21 03:00:00,378.49,1,BUY
2020-10-28 07:00:00,396.97,1,SELL
2020-11-05 07:00:00,403.33,1,BUY
2020-11-16 07:00:00,455.12,1,SELL
2020-11-17 18:00:00,478.39,1,BUY
2020-11-27 09:00:00,504.03,1,SELL
2020-11-30 14:00:00,603.58,1,BUY
2020-12-08 00:00:00,591.26,1,SELL
2020-12-14 04:00:00,585.22,1,BUY
2020-12-22 12:00:00,612.01,1,SELL
2020-12-27 01:00:00,640.38,1,BUY
2021-01-12 08:00:00,1114.79,1,SELL
